Bundler,Submission Latency (ms),On-Chain Latency (ms),Total Latency (ms),Tx Hash
alchemy,537,4581,5118,0xd0dc783ae1fde04d70c0ac0bf629a02b76e325c18ad055d4bfbc44b5cec0b4a9
alchemy,330,4716,5046,0x6cd5a0d5fa884b43297502c3bf1d45eefb9913ff0502578419e542f64fc3c983
alchemy,409,4814,5223,0x29867276ba561ef7b69090de0ac9d5c4f60d219afa426e7062cab1f8e2dae519
alchemy,310,3160,3470,0x94ed45c30ccbcfd28ff70ae2166cc3b1503d68bc87d83106453c5ce71e75bb78
alchemy,390,3576,3966,0x4a4762a453612b9bec4a975da157600e882e6f791f82b19028622545488c1cd9
alchemy,407,3625,4032,0x7b7d07c5107d8a5544ac65d9a33fd39c079e58800e47267def882cf762ae898e
alchemy,439,1896,2335,0xeb1eda1062dd4d6a91354a149afa67c837caa3e99288821ddcf2ff990672d6d9
alchemy,342,4273,4615,0x20244aec051692be821710cc080827b905d1d88a156d5ca38f77d8e225405ccb
alchemy,435,2329,2764,0x7630a935f153dce8ddc5ac384110227205077c19a0e9e959fef54b031daf3121
alchemy,417,4271,4688,0x507b6fd99ab1a3fee5e92ee893258024b7f86c742a6443fb47af2038e3d93cd3
alchemy,345,4313,4658,0xad37c6780b72ade9e00f96a6cf5fa9cef1e50f577f15e962ab47e8b0304b029a
alchemy,358,4474,4832,0x1c0864722be530b1f416b2dad8cc577edf5ef203382c4a77144512c54f759b58
alchemy,412,2490,2902,0x7546d80def72c1044b7dfc59121def60936eb33d395bb64172b59c07f42f4061
alchemy,409,962,1371,0xf5e6b1776e10301e4461450dbcb53ca27e61d4b4a956468aa040fcfffd5f6ce5
alchemy,397,1399,1796,0x87e240fe07493223bf091c19d9b0c51e6138428d4b9f2a9b800c80eb6073559d
alchemy,307,1858,2165,0xd535adbc71deb208f9c36f6f86927612ed64c4f99742315fac4265472f7af1f3
alchemy,406,4066,4472,0x0f425daf1d2c108a9fcf2f0aea092df60537084e5d7f669670c24b19a90569c1
alchemy,407,6238,6645,0x6755f33b3005949dbe32565c8d053dd665f4426159552f6bfae52fc194b152c9
alchemy,404,4305,4709,0x464cd49e549a2dbaeeb1f8668195d5934b820089c913d311694016676f190a2d
alchemy,409,2370,2779,0x9d677fdb2b0b9286e6fd30d0547c58793672fa24660fc0d91329b5d81e09900e
alchemy,528,4736,5264,0x666b313b65319d890dce3461f781ff78f958344b84c7d7686e657fb445dab656
alchemy,401,2911,3312,0x57c83ba4ca5e957c5b9951b4264091e98483cfe200ec1d1d67bce07fb3da3a13
alchemy,410,3180,3590,0x8895886aebdef02805ef2950d20a5cff0e3842e3c1b3e155f94dbc4170cfa056
alchemy,352,3302,3654,0xdb32998e2fe9fb41719b531308f9e8524f17a352ae63ecb377664a095a37fb3c
alchemy,407,3000,3407,0x9254d647e6eed8e525307e4516b4ddd5f333f3e039b6b22bae303042537e0e27
alchemy,406,1069,1475,0x2e7358502ab538312dc58916920046c48903ce451e2f0814433403b89fea2e4b
alchemy,283,5664,5947,0x9d1798fb1e1341813a1331f184cb343a8029d0c4a1c8c0abaae8bbd7c3e973ad
alchemy,402,1609,2011,0x56bdaeea328d22335e6a0a8e2f80f5c594743fd40c40d0a6ecbe05dcb925e9ec
alchemy,444,2073,2517,0x403e1f1992a7905a900e28ad287da0fa4f97d88c5033e2a88a7fd246fa92944f
alchemy,295,4558,4853,0x6697fc55bb556d2315acfc8863fc2941c7952469f9aa3f66968b877a045fbe6f
alchemy,406,2818,3224,0x8e170959417b0bc40a5cf15497f05209be05691446809bb960c7725b959c2b95
alchemy,404,2887,3291,0xb0c533b87ac9662fe504e85badd4b8b245bcdcc275e2e0d5c14338f503346a6d
alchemy,451,1253,1704,0x64d8a896778e7b3698c2dce2376f788a0adebf8b0b7d8278aeeaff7324f2ee46
alchemy,377,1724,2101,0x4fbf8b96a89abf3864aa67474e361e715805fca7d18dae927c1207e9ebc1f220
alchemy,456,1992,2448,0x3c859cda3537646760b53e513943a97692660edc6e37a9d5f8c96905d29f39f7
alchemy,428,2462,2890,0x15fa1c63b158ab73d74255ef71437d7634143fc2337c6a245a64c82cfbcc0546
alchemy,475,6697,7172,0xb6d30000ef6e599b9aa95cd2454aae7eb0f637767b275f9240960c1c447cb688
alchemy,406,2795,3201,0x794f29f9434c3dbac321af803ca8c4a30876fd8bced24271f5d9edc5affd3ef4
alchemy,406,2862,3268,0x442f23d6a95551f68a62a59e760e4d79bd6855f1dde00f60beb7402408bbde1a
alchemy,307,1069,1376,0xfb6320a03d202ffe81c92937baf4a637cf909450d08fe4dd0040e286aac01649
alchemy,322,1474,1796,0x68c0e20330532dd7a070049fc1c001f0b9ec42bb0533e4e12d5e6421b45a1bfd
alchemy,342,3998,4340,0x87b41bc43e32e2f414dff6229838bc8480bb70dcdbd7996ea39e48d7a63a8fce
alchemy,308,2440,2748,0x9b3e19f62845ff6897ee269b47e21defcea1df22ea18ad759d7e60aa72fa05de
alchemy,329,3056,3385,0x9656b46961cd75ec08a16c711d837ce06372d0d7bc52558a973fba3fc2f2e06a
alchemy,371,2412,2783,0x7a57a0b8005a36dc9cc22345ceca49f8df64ee567b506f93ffb991fbdf08c84c
alchemy,407,2420,2827,0xf24cc578b07776e721e6192d83961d4ef640ad0bdf69d0bafd5bad010ca0a0de
alchemy,547,2790,3337,0xf98b5c92345243240f42ed9ef6ce853b7b7541d4b26f8610fe1a9f4de8eaea3d
alchemy,347,3295,3642,0x53326a23ea543186b701e38a02365e5c13dec20c9a7d7ab40ddca6168d93fdaa
alchemy,475,3326,3801,0xbf961b22c7472fa8d7744c47d82ca69b04501a75dd83654f6420385a1eb327ba
alchemy,363,3701,4064,0x0026415ee09fcfffacca4e2148cff4f6e8630c3f0a7d714f10f91f0e7fe55ade
alchemy,320,1904,2224,0x6dbc720596f4f24d9b7dc86a79919ff39a51ea531faf39c5f0094023e905364a
alchemy,312,4470,4782,0x666e714b1ef5a3ab21ec752740661c003160836d2851762ade1dbba990cc4929
alchemy,509,6614,7123,0x7f2d5021f9607d8ad68a1acc42d930fb41d02c0b144cffc60e4ad0005c3635aa
alchemy,374,616,990,0x55cfa1e75cb356c538820c14360cfa74b01e18975c777e01166c1230e3268d6f
alchemy,352,983,1335,0x391d158a0dcca9cd9bed28d6f67c1ed24b4b518adb3f25be906ccb553a827db9
alchemy,356,1504,1860,0x9b90933daa4f72ec538a1babccf91e832237dd8a79f8d02f38978ea335d96f37
alchemy,359,4049,4408,0xd8958a4b7a6fa08a6ab7b9e4cf94ae66fd952f89a6053c34ec95d725751e41fe
alchemy,494,2269,2763,0x11edb55fab0fb5a2ee922be347f21ee879e7516499576d9fd92d030bd59a170f
alchemy,313,2792,3105,0x80d34de6d8ae6d4f299792f5655dbded569abcfa7d6c0b0cf323a3d1c862ea29
alchemy,334,1414,1748,0x327e3ee30bd12075e75c4d67ed09dc90844fe5fd1a375814908921bf1fe2c6a2
alchemy,444,5747,6191,0x17b5079d959c9e3b3252ed7afa09ee397952821bfad7dec01e6ba6b52b31524f
alchemy,343,2055,2398,0x6312272e5102ee2d41ff301e9d454f91d6a59bff37e0fe94c38bc78efbafc880
alchemy,336,2343,2679,0x4f1cb2cf1320f99afbcb9f22cbaab966f3f8505f0e74b8f5283d47f19546d3ef
alchemy,307,2784,3091,0x16bff68a217b2d301be03e43b2a80dc9e867d82d96ad5bfdb90a2a68e074e6bf
alchemy,297,3064,3361,0x6633693e54395231562e23932e477d5c7f2c28082281443e144c82835739c822
alchemy,361,5226,5587,0x571be23ecb8877071516fcd7f5a07650e05aae1167ffc41bddd8d86be643d00e
alchemy,405,3293,3698,0xfaf0a650b7c8b90b931184aaca9f55b6d21071360b555fa9cd71b673fe140e50
alchemy,359,1361,1720,0xf993a2a9dbe9be963e6cd080a210fbe3bced098cd401c9570999438949083edd
alchemy,301,3855,4156,0xce25b28d92a6e8f66c41882ab36f07393dd1fd4d596fb5a37e4d309bb51de519
alchemy,569,2002,2571,0x56e38563e524ed624ffa4bb34603b5d62786fd33108daef4d4350bb27e8b5772
pimlico,160,2714,2874,0xeefe3eccbb0118009492d8c94593c221d6d322e34629208e29de8182b5766f1c
pimlico,162,1510,1672,0x2db2e9195cb6ef2c8775a776623845199932e1c8cdada6fc78d89b681e01d8e1
pimlico,196,2227,2423,0x3ae577f7696310a7c266bb0f3f62ee2419ccc7b8548da06e150edfe96e2957ca
pimlico,149,3013,3162,0x9e545f2bb89ce9e1f1375b677a93a62a53aba12d70c1e3085759f6544895817d
pimlico,167,3731,3898,0x82b1f3adf86601d6cbee45993791a77d52692b840a7e8a6fcb95cacb02f7b325
pimlico,188,2271,2459,0xe2748820d987bdde60cc024f4eb7c985bcb0ac6db31e7b4e6b648f6c91293c2d
pimlico,151,2868,3019,0x9075478c7a5fa1c867e88442892cf010a56184c84ff7d141fbda4a2b44d3a9d0
pimlico,155,3653,3808,0x093d1a7b92e57f5bcc3a122d46c51aa0b516e8689e963f542bd90cb1b3e0e8f4
pimlico,148,2220,2368,0xcb307f25cab6c32f4e55a8429f12e46f9559b0338bd94345e974011d6279f224
pimlico,146,2951,3097,0x08a97ce96308369d44cde5c9ca9396c616639f8df06f856b00f280169e78f3fb
pimlico,156,1551,1707,0x8bf1b9ed78c1fd888a84c233d0a03da5ffe14640d414e3b1f0eeecbc9c06fd04
pimlico,183,2313,2496,0xb29a458ca078598e3b299b119f3d6898dc506b800b211e6bfdd33e42ca8716ac
pimlico,178,3065,3243,0xea928fcb62f67d76be06e1872c2bc21919d3dcf4090c90adaac1be3d57b89a40
pimlico,165,3836,4001,0xe28a6d6208450f849541a586c352cf98084f69970a4bb3b4f7c562aaca7e0b99
pimlico,156,2557,2713,0xdf5632d626d0b0b42a372da69172f1af5c0d9c9de511598176f77198797d1ea3
pimlico,174,3362,3536,0xdac98a82a2ef47feec2d2a68b55ca1110eac2595742ad87f70b9f0382e6cafbf
pimlico,147,1709,1856,0x3edf61b424005832d55b7abe740fcace9ceac6cce395dba9527156e9967bc646
pimlico,184,2289,2473,0x02f8d3824ed78a0fd2e204b4940ff8d5a674544a9faa93a186265543fd501c42
pimlico,157,3179,3336,0x1e84a56aee2ee6cbb9136309bbd2694f3d1035ebb3de09bca4ac50dbc095422f
