Bundler,Submission Latency (ms),On-Chain Latency (ms),Total Latency (ms),Tx Hash
pimlico,158,2579,2737,0x4690a01b4cab1baf27d51b4ffc5b2718819372ec592225b42e1a80426c886cf4
pimlico,151,3185,3336,0x272ae1f9ab68bd110e4913f60e33797bfd57b75bbe2692a3cee61aeadb9d3faf
pimlico,144,1904,2048,0x9bce6a46be56fea7017e505442a399b52ece69c4ed13557a25e7ad4d183dae87
pimlico,149,2487,2636,0x2ee067322dc9f84e08a0bfab2c83aa34f55631278abc8cebedc5eb0b5819cb19
pimlico,Error,Error,Error,N/A
pimlico,158,1959,2117,0x50be7eaf1131a30d76c27a495a8536a0341144b0d476a066b337301ff825d0eb
pimlico,170,2731,2901,0xf687243fb982193df636564a68e440395dc469cdc1fd92eea63ea2e55f318c77
pimlico,161,3421,3582,0x948a7946939ee27edc66012c7e4e02415f5558f6dc4dafe05afb122333919d93
pimlico,148,2136,2284,0x7f1dae9251d1649b2fd47fc02628c81b6b0a76a28c77642db8c88335975d66f9
pimlico,596,2264,2860,0x4fb0021880744dc6353568f3bd805b0d0e12136a7308b1a24765735f604fbc67
pimlico,141,2887,3028,0xe7ef7cb67956801d2de9a838ba47ea907339b41c7d4a7e459f7c9b8d6311295a
pimlico,173,3523,3696,0x2e764014eab74915a50ade76338d161423d97de57c62f0851c016501f752c6ea
pimlico,169,1949,2118,0x60e2c59fcc1ae333ea90cd40def45541a7acd23407355136c93c96886e59377c
pimlico,180,2585,2765,0x1f0d2f2b098cc67fd88a2fee1e1566b27d8d956f4931aaab3e7ef2eec4ac8f12
pimlico,168,3187,3355,0xaed44658a9eccc68a5db7bb7565d1d0f2d5676f534a5552de8016b3be7d94a86
pimlico,191,3623,3814,0x33e4bebad1c633054ff9ce93c294b8af5c830539b85f854fa24930c93811eb81
pimlico,166,3913,4079,0x5a8cae09ec18c6dd4226dfc258be16d18ee72ce7ad00e55d307835ed6563d17d
pimlico,150,2491,2641,0x773c8f453d03bf9ca0b9d1e1daadecd424c070650c88046fbf990fb6527ef9c6
pimlico,150,3346,3496,0x5772ebd0652cc1b472073178322bb3a9514657b44c3244fccbd596c8f7ddd745
pimlico,152,2058,2210,0x1d86c07d55712f99136e8e32236edcc4a43b9618be9309fcae04710f0de12f09
pimlico,155,2700,2855,0x7c2c955c546838c88f1cff467f0c286b00a93248ab4875f847e755552c9716ca
pimlico,177,1389,1566,0x0b6bf26431f2a8b26b83706a3b0c6ba90cae097bb4e08b994ebe654eb754f9e7
pimlico,163,2210,2373,0x95317bd5fc7ec221fbf72e46c587035da810e3a8f4344aa5cb5b1d1c1cb000a6
pimlico,152,3071,3223,0x8a691996a3e60146b723c387bfc5010245d78e1806ceca33bc141f1d7f2c6229
pimlico,157,3560,3717,0xb23b21a8186193373486e21a5c44a4cf70335551369f5e17970d87d7cfc27057
pimlico,181,3843,4024,0xecff2c9ac765dbb831d946e38e032968496eaaed234573a73d9722a5645c870a
pimlico,151,2157,2308,0x601961089fe71c8a263ef1b3f9f9157cb96f32ae711ff281680f255c1f337647
pimlico,165,2895,3060,0xb337f4b01be19afb892584daf087953dfc6274ac6cd7e3e79efef5cd1116f750
pimlico,170,3279,3449,0xe742c62e5eea6714c124bad85d32864294debbfef72a5cc640de0b57100bcdf1
pimlico,151,1976,2127,0x976d4c5335cc4e6f245124fefc7d5f5f1b74375f155f3dcc2922d3c2082ecc07
pimlico,149,2802,2951,0xd1dbaf28c93ea471c9efbb6eedf3f6769194794aa9a9273b66dc9a0a0d7704dc
pimlico,158,1584,1742,0xe62d9e7edba9737266f5759b81d3920d8f7d50d00199a25509e83846a1b7b3ef
pimlico,147,2335,2482,0xb87c0e24109c786197d0d1a659ced147b61ba3c762c34341b4c70b8e53b07c77
pimlico,189,3007,3196,0x6231b92c5f3e75a6044996221ce6bbdb0d902adf11ec02082dc89139c67056d4
pimlico,148,1820,1968,0x6f4b65d86257e6674af4f8d0070a2f0fe61f223394eb65b3b106590daa50c135
pimlico,174,2617,2791,0xb7a8b03d4bb1662791ad3fb579c57f4e54ee85287e26a6d915e84cdd1670c8f9
pimlico,161,3139,3300,0x2154a77b538a231a23e73a4b5ef37b61e16b88601213647979d6ee311311db01
pimlico,160,1694,1854,0x0d25ec7d8fa2825a763520e0976aaeea30c5ec3996c47883f739620b9edfae03
pimlico,151,2512,2663,0x437663383648fee3681daacb3137d531098d1a024a71f2d873b8aa3cc65484b3
pimlico,190,1237,1427,0xe3841d7a78b6008e1c5e5839c6e4c5e3eea973ba49b52e2798f823e7796d6720
pimlico,150,2152,2302,0xaa1ee9c1dfa93ce11241c4ed7a3501e325ff4c8cf04e65b9832c9ca34aff87e8
pimlico,183,2853,3036,0x2967edd258ff8142760bfb03ef4cf775be9c4921759e5faefa016ea6b3a37f3f
pimlico,158,1517,1675,0x74996a76444546f2f87b423a4cf6174bb7ea989c0620a5612c4fb77c395eb9e3
pimlico,181,3748,3929,0x636b4eb8012494fd3bdbcdcab2a200d26abeefdfc5b33ee7590251350a2b4e9f
pimlico,153,2335,2488,0x4cae66642a92ad6371e14a2c91653b5001d59b66cdc0034c77f1080ca08ecbfa
pimlico,157,3001,3158,0x0e594535b39e40ababb65d1edab7cf055b9d4a2ca5a1a10a92dfeadd80341e25
pimlico,158,1591,1749,0x681511338db1dc50786e01cb4d4b61abd521acf999b00639d6d114ef1fc8b5f7
pimlico,169,2231,2400,0xd909013669924ac0ab49679b8f3502bd2e76287f3987310fd00c841101e3093e
pimlico,164,2998,3162,0x24333d6605b1e91accc14cb654ac409c696a7535dfcbea661ec49892ea12056a
pimlico,158,3643,3801,0xe6233d8cf14db37976b0a7d9dad7f7dc3431f93338eb83465592fa4fc863742e
pimlico,167,2113,2280,0x7253d05a032a2f91fed6f38ff6dd0dc20b02f326323a04b5020c3536b0855062
pimlico,166,2874,3040,0x76490d48a26fedf788df53dc8deda1669633ff001683e8c27e60b1455e9c2c12
pimlico,148,3464,3612,0xd2b28b98d79d7ef322271a187c389869e36a55a5c9fd1b78585ff39039ed935d
pimlico,163,2171,2334,0x6df69403b4e49e43b83927fd10828a157e6df7e34e343c353e5b8e72cf9fa821
pimlico,151,3075,3226,0x1cda6c8d18b596ba88a6814bf8208f893c66d137fffd3dc4f31b899da5423826
pimlico,162,1767,1929,0x1d0fd4b96102ded8dd0e90ef706969d50a702f686707d0e7ec3522416e495a74
pimlico,162,2451,2613,0x730394cff1b901fd801c1a3d51dafc8a574ce69434c72310ac0753167ca3f333
pimlico,150,2963,3113,0x6f6e49ca1aba03e12ea32c288fb3d40b68e1aeee29a905184c69d717cf95aaf4
pimlico,161,1518,1679,0xe974bb2b19b46d3e77d889e17a9e7331057107c08c37b5c68009c18fd8f0f319
